Rating,Ingredient,Warning
Bad,Acetic Acid,This type of acid is a major component of vinegar and can cause skin irritation.
Bad,Alkyloamides,"Identified on skin care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA)."
Bad,Apricot Kernel,"Often used as an abrasive agent in so-called ""natural"" scrubs."
Bad,Asimina Triloba Fruit Extract,"This plant extract, also known as pawpaw, has antioxidant properties but can also irritate skin."
Bad,Blue Tansy,"A potentially sensitizing, fragrant essential oil used for its colorant, scent, and antioxidant properties."
Bad,Calendula Officinalis Flower Oil,The volatile oil taken from Calendula officinalis flowers. Contains skin-sensitizing fragrant compounds but also has antioxidant properties.
Bad,Cocamide DEA And MEA,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used ingredients to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties..."
Bad,Colloidal Sulfur,"Possesses anti-acne properties but can also irritate skin when applied topically. Has smaller particles than sulfur, making it more potent."
Bad,Diamond Powder,Diamond powder is an abrasive mineral used in skin care products such as exfoliating cleansers where it provides buffing/scrubbing action.
Bad,Diatomaceous Earth,Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms.
Bad,Diazolidinyl Urea,Water-soluble preservative.
Bad,Dicalcium Phosphate,White powder that can be used to create abrasive formulations (not recommended) or can be formulated in a way that lends opacity to makeup (which is not problematic).
Bad,Dimethyl MEA,"Controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm."
Bad,DMAE,"Controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm."
Bad,DMDM Hydantoin,Formaldehyde-releasing preservative.
Bad,Farnesol,Extract of plants that is used in cosmetics primarily for fragrance.
Bad,Farnesyl Acetate,Ingredient used in cosmetics primarily for fragrance.
Bad,Formaldehyde-Releasing Preservative,Common type of preservative found in cosmetics.
Bad,Geraniol,"A volatile fragrance ingredient extracted from geranium, geraniol is capable of causing sensitivity when applied to skin."
Bad,Gold,Metallic element whose skin care benefits remain unproven. Potential source of skin irritation.
Bad,Hoya Lacunosa Flower Extract,"Extract derived from the flowers of the Hoya lacunosa plant, whose fragrant compounds pose a risk of skin sensitization."
Bad,Hydroxyethylpiperazine Ethane Sulfonic Acid,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to establish a neutral pH in water-based solutions."
Bad,Imidazolidinyl Urea,"Considered a weaker preservative than its ""cousin"" diazolidinyl urea."
Bad,Iron Powder,"Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics."
Bad,MEA,Abbreviation for monoethanolamine.
Bad,Melia Azadirachta Oil,"Plant-derived oil, AKA neem oil, that has potent active compounds that can sensitize skin."
Bad,Methyldihydrojasmonate,"Methyldihydrojasmonate is a fragrant compound used in skin care for its floral, jasmine-like scent. Like other fragrances, it can cause skin sensitization."
Bad,Mimosa Oil Or Extract,"Mimosa oil or extract are fragrant, antioxidant ingredients derived from the Acacia dealbata plant. Their aromatic compounds can cause skin sensitization."
Bad,Myrtle Extract,"Antioxidant and antimicrobial ingredient, AKA Myrtus communis extract, that also contains volatile, sensitizing aromatic compounds."
Bad,Myrtus Communis Extract,"Antioxidant and antimicrobial ingredient that contains volatile, sensitizing aromatic compounds."
Bad,Neem Oil,"A plant oil derived from the seeds and fruit of the Melia azadirachta, AKA Azadirachta indica, tree. Can cause skin sensitization."
Bad,Papaya Extract,"Extract that is the source of papain, which theoretically can have exfoliating properties on skin."
Bad,Pawpaw Extract,This plant extract has antioxidant properties but can also irritate skin.
Bad,Perfluorodecalin,"Solvent and texture-enhancing ingredient that increases oxygen to skin, which may actually boost the presence of reactive oxygen species (ROS) in skin—the very thing antioxidants fight against."
Bad,Perfluorohexane,"Solvent and texture-enhancing ingredient that increases oxygen to skin, which may actually boost the presence of reactive oxygen species (ROS) in skin—the very thing antioxidants fight against."
Bad,Phenylpropanol ,Preservative and fragrant compound used as a masking scent in cosmetics. Potentially irritating to skin.
Bad,Polyperfluoroperhydrophenanthrene,A solvent and potential PFAS that is often used as part of an ingredient blend.
Bad,Polyvinyl Alcohol,"A synthetic polymer of vinyl alcohol that functions in cosmetics as a gel-based thickener, film-forming, and binding agent."
Bad,Potassium Hydroxide,"Also known as lye, a highly alkaline ingredient used in small amounts in cosmetics."
Bad,Potassium Myristate,Detergent cleansing agent that is a constituent of soap; it can be drying and aggravate skin for some.
Bad,Quaternium-15,Formaldehyde-releasing preservative used in cosmetics. It can be a skin sensitizer.
Bad,Quercus Robur (Oak) Root Extract,"A plant-derived ingredient rich in antioxidants that contains tannins, which denature proteins in skin’s surface, resulting in sensitization."
Bad,Rosa Damascena Flower Water,"Fragrant solution obtained from the flowers of the damask rose, which poses a risk of irritation to skin."
Bad,Sea Salt,"Can be effective as a topical scrub, but if left on skin it can increase the risk of a sensitized reaction."
Bad,Silt,A sediment obtained from various bodies of water. Silt's absorbent nature helps it function to absorb excess surface oil.
